
Id: 1/Name: NEW/Note: Internal/Boat: 1/Cycles: 1/Before Delay: 0h0m10s/Identifier: 0105163742966
1/CLOSE APERTURE/0/0
2/Linear/1000/0
3/OPEN APERTURE/0/0
4/Const/10000/0
5/CLOSE APERTURE/0/0
6/Linear/1000/0

Pressure:  mbar


s 10000
v1
c
l 000 000 1000
o
k 10000
c
l 000 000 1000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
10 s*10000
10026 0 5 1 l*200*0
10222 0 6 2 l*200*1
10423 0 4 1 l*200*2
10623 0 5 2 l*200*3
10822 0 3 3 l*200*4
11022 0 3 1 l*200*last
11035 0 3 2 k*200*0
11233 0 4 1 k*200*1
11434 0 7 1 k*200*2
11633 0 5 2 k*200*3
11833 0 5 2 k*200*4
12034 0 4 3 k*200*5
12234 0 2 0 k*200*6
12434 0 1 0 k*200*7
12635 0 6 3 k*200*8
12835 0 6 0 k*200*9
13035 0 4 0 k*200*10
13236 0 4 1 k*200*11
13437 0 2 1 k*200*12
13636 0 3 0 k*200*13
13837 0 5 3 k*200*14
14038 0 6 2 k*200*15
14237 0 4 0 k*200*16
14438 0 4 0 k*200*17
14639 0 4 0 k*200*18
14838 0 5 3 k*200*19
15039 0 5 1 k*200*20
15240 0 6 3 k*200*21
15439 0 6 5 k*200*22
15640 0 3 1 k*200*23
15841 0 4 2 k*200*24
16041 0 3 1 k*200*25
16241 0 2 0 k*200*26
16441 0 5 2 k*200*27
16642 0 6 2 k*200*28
16842 0 2 2 k*200*29
17042 0 3 0 k*200*30
17243 0 4 3 k*200*31
17443 0 4 0 k*200*32
17643 0 2 1 k*200*33
17844 0 4 1 k*200*34
18045 0 1 0 k*200*35
18244 0 4 0 k*200*36
18445 0 4 1 k*200*37
18646 0 4 5 k*200*38
18845 0 5 0 k*200*39
19046 0 1 2 k*200*40
19247 0 3 3 k*200*41
19446 0 7 0 k*200*42
19647 0 2 0 k*200*43
19847 0 4 2 k*200*44
20047 0 5 0 k*200*45
20248 0 5 3 k*200*46
20448 0 2 2 k*200*47
20649 0 2 0 k*200*48
20848 0 4 1 k*200*49
21048 0 5 1 k*200*lastPoint
21061 0 1 0 l*200*0
21259 0 3 1 l*200*1
21459 0 5 0 l*200*2
21658 0 3 2 l*200*3
21858 0 4 2 l*200*4
22058 0 4 0 l*200*last
