
Id: 1/Name: NEW/Note: Internal/Boat: 1/Cycles: 1/Before Delay: 0h0m0s/Identifier: 0105163742966
1/CLOSE APERTURE/0/0
2/Linear/1000/0
3/OPEN APERTURE/0/0
4/Const/10000/0
5/CLOSE APERTURE/0/0
6/Linear/1000/0

Pressure:  mbar


s 0
v1
c
l 000 000 1000
o
k 10000
c
l 000 000 1000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
10 s*0
23 0 3 1 l*200*0
221 0 2 0 l*200*1
422 0 2 1 l*200*2
622 0 0 0 l*200*3
822 0 5 2 l*200*4
1023 0 3 0 l*200*last
1036 0 5 2 k*200*0
1234 0 2 0 k*200*1
1434 0 3 1 k*200*2
1634 0 2 0 k*200*3
1835 0 3 1 k*200*4
2034 0 6 1 k*200*5
2235 0 3 1 k*200*6
2435 0 4 0 k*200*7
2635 0 3 0 k*200*8
2837 0 5 2 k*200*9
3037 0 5 2 k*200*10
3238 0 4 1 k*200*11
3437 0 8 2 k*200*12
3638 0 1 1 k*200*13
3838 0 2 0 k*200*14
4038 0 8 3 k*200*15
4238 0 6 2 k*200*16
4439 0 6 2 k*200*17
4638 0 5 2 k*200*18
4839 0 5 2 k*200*19
5040 0 4 0 k*200*20
5240 0 2 0 k*200*21
5441 0 5 3 k*200*22
5641 0 2 3 k*200*23
5843 0 4 2 k*200*24
6042 0 5 2 k*200*25
6244 0 5 3 k*200*26
6444 0 3 1 k*200*27
6644 0 4 0 k*200*28
6844 0 5 3 k*200*29
7045 0 4 0 k*200*30
7245 0 5 0 k*200*31
7445 0 5 1 k*200*32
7645 0 4 0 k*200*33
7846 0 5 4 k*200*34
8045 0 3 1 k*200*35
8246 0 3 1 k*200*36
8446 0 5 0 k*200*37
8646 0 4 2 k*200*38
8846 0 3 2 k*200*39
9047 0 4 0 k*200*40
9246 0 3 0 k*200*41
9447 0 4 3 k*200*42
9647 0 6 1 k*200*43
9848 0 6 5 k*200*44
10048 0 4 0 k*200*45
10249 0 4 3 k*200*46
10451 0 4 2 k*200*47
10650 0 2 2 k*200*48
10851 0 3 0 k*200*49
11051 0 6 2 k*200*lastPoint
11064 0 3 2 l*200*0
11262 0 2 1 l*200*1
11462 0 3 0 l*200*2
11662 0 3 0 l*200*3
11863 0 4 0 l*200*4
12063 0 6 2 l*200*last
