
Id: 1/Name: BASIC Copy/Note: Internal/Boat: 1/Cycles: 1/Before Delay: 0h0m5s/Identifier: 0205084743646
1/CLOSE APERTURE/0/0
2/Linear/2000/0
3/OPEN APERTURE/0/0
4/Const/2000/0
5/CLOSE APERTURE/0/0
6/Linear/2000/0

Pressure: 1e-5 mbar


s 5000
v1
c
l 000 000 2000
o
k 2000
c
l 000 000 2000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
92s*5000
5106 0 5 0 l*200*0
5304 0 4 2 l*200*1
5504 0 5 0 l*200*2
5705 0 5 0 l*200*3
5906 0 3 0 l*200*4
6107 0 5 3 l*200*5
6307 0 2 1 l*200*6
6508 0 3 3 l*200*7
6709 0 3 0 l*200*8
6909 0 1 2 l*200*9
7109 0 6 2 l*200*last
7122 0 4 0 k*200*0
7321 0 0 0 k*200*1
7521 0 3 0 k*200*2
7721 0 5 3 k*200*3
7921 0 3 3 k*200*4
8122 0 5 3 k*200*5
8321 0 3 4 k*200*6
8521 0 1 0 k*200*7
8722 0 2 4 k*200*8
8922 0 5 1 k*200*9
9122 0 3 2 k*200*lastPoint
9136 0 5 1 l*200*0
9338 0 5 1 l*200*1
9533 0 6 1 l*200*2
9733 0 3 1 l*200*3
9932 0 5 1 l*200*4
10132 0 1 0 l*200*5
10332 0 5 3 l*200*6
10531 0 3 0 l*200*7
10731 0 5 0 l*200*8
10931 0 4 0 l*200*9
11130 0 2 1 l*200*last
