
Id: 1/Name: NEW/Note: Internal/Boat: 1/Cycles: 1/Before Delay: 0h0m0s/Identifier: 0105163742966
1/CLOSE APERTURE/0/0
2/Linear/1000/0
3/OPEN APERTURE/0/0
4/Const/10000/0
5/CLOSE APERTURE/0/0
6/Linear/1000/0

Pressure:  mbar


s 0
v1
c
l 000 000 1000
o
k 10000
c
l 000 000 1000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
11 s*0
24 0 5 0 l*200*0
221 0 5 1 l*200*1
422 0 3 0 l*200*2
622 0 6 1 l*200*3
823 0 4 2 l*200*4
1023 0 3 0 l*200*last
1036 0 4 1 k*200*0
1232 0 5 2 k*200*1
1433 0 3 0 k*200*2
1633 0 2 1 k*200*3
1833 0 4 4 k*200*4
2033 0 5 3 k*200*5
2234 0 3 0 k*200*6
2433 0 4 2 k*200*7
2634 0 4 1 k*200*8
2835 0 5 2 k*200*9
3034 0 3 0 k*200*10
3236 0 7 1 k*200*11
3436 0 5 2 k*200*12
3636 0 3 1 k*200*13
3836 0 4 2 k*200*14
4037 0 4 3 k*200*15
4237 0 5 2 k*200*16
4437 0 6 1 k*200*17
4637 0 2 1 k*200*18
4838 0 4 2 k*200*19
5037 0 5 0 k*200*20
5238 0 6 1 k*200*21
5438 0 6 1 k*200*22
5638 0 3 0 k*200*23
5840 0 4 0 k*200*24
6040 0 2 1 k*200*25
6242 0 5 0 k*200*26
6441 0 2 2 k*200*27
6643 0 6 2 k*200*28
6843 0 4 3 k*200*29
7043 0 2 0 k*200*30
7243 0 3 0 k*200*31
7444 0 4 2 k*200*32
7643 0 3 0 k*200*33
7844 0 3 0 k*200*34
8044 0 6 3 k*200*35
8244 0 4 0 k*200*36
8444 0 6 3 k*200*37
8645 0 4 0 k*200*38
8845 0 3 2 k*200*39
9045 0 6 2 k*200*40
9245 0 4 2 k*200*41
9446 0 4 3 k*200*42
9645 0 3 0 k*200*43
9846 0 1 1 k*200*44
10046 0 6 1 k*200*45
10246 0 3 0 k*200*46
10448 0 6 2 k*200*47
10648 0 4 1 k*200*48
10850 0 5 3 k*200*49
11049 0 3 0 k*200*lastPoint
11062 0 4 2 l*200*0
11259 0 3 0 l*200*1
11459 0 4 2 l*200*2
11660 0 4 3 l*200*3
11860 0 3 0 l*200*4
12060 0 3 1 l*200*last
